sra	sampleID	Day_of_Life	Individual
SRX1551675	5-D1	14.7	234.01
SRX1552133	5-G8	22.9	294.01
SRX1552131	3-E5	39.6	37.02
SRX1552129	5-B7	22.7	265.01
SRX1552127	7-G4	82.2	175.01
SRX1552125	6-G2	10.9	363.01
SRX1552123	3-F2	11.3	110.01
SRX1552121	4-A6	50.6	181.01
SRX1552119	2-F4	69.5	91.02
SRX1552117	1-H1	35.1	40.01
SRX1552115	8-D2	27.9	271.01
SRX1552113	6-D5	41.2	341.01
SRX1552111	2-F2	27.5	303.01
SRX1552109	5-A6	54.5	234.01
SRX1552107	3-F4	18.6	121.01
SRX1552105	6-D3	21.8	341.01
SRX1552103	1-C7	46.5	159.01
SRX1552101	1-H7	41.6	184.01
SRX1552099	7-D5	25.5	122.01
SRX1552097	8-D4	157.7	271.01
SRX1552095	4-G8	17.6	195.01
SRX1552093	2-E5	17.7	161.01
SRX1552091	5-B1	33.8	197.01
SRX1552089	3-E3	13.2	110.01
SRX1552087	4-B7	60.1	180.01
SRX1552085	6-G4	14.5	361.01
SRX1552083	7-G2	37.0	175.01
SRX1552081	8-G3	60.9	370.01
SRX1552079	8-A7	31.0	205.01
SRX1552077	8-D8	64.1	295.01
SRX1552075	1-F4	38.3	107.02
SRX1552073	4-D3	32.0	139.01
SRX1552071	2-H1	24.8	286.02
SRX1552069	5-D5	52.2	195.01
SRX1552067	3-F8	57.5	121.01
SRX1552065	2-C1	11.2	278.01
SRX1552063	6-G8	18.2	56.01
SRX1552061	6-B7	15.6	341.01
SRX1552059	4-G4	60.7	181.01
SRX1552057	5-G2	62.2	234.02
SRX1552055	1-E5	64.5	107.02
SRX1552053	6-B1	16.4	313.01
SRX1552051	7-B7	36.9	68.02
SRX1552049	1-F2	12.9	55.01
SRX1552047	6-A6	34.6	363.01
SRX1552045	8-A1	29.0	198.01
SRX1552043	5-D3	40.6	234.02
SRX1552041	3-H1	43.6	110.01
SRX1552039	2-C7	57.8	286.02
SRX1552037	4-D5	13.7	197.01
SRX1552035	2-H7	32.3	303.01
SRX1552033	3-A6	27.5	76.03
SRX1552031	4-F2	30.2	139.01
SRX1552029	5-F4	12.3	234.01
SRX1552027	7-C7	88.3	97.01
SRX1552025	6-C1	42.5	313.01
SRX1552023	7-F8	34.7	175.01
SRX1552021	1-D5	57.9	107.02
SRX1552019	3-B1	23.3	48.01
SRX1552017	2-G8	31.7	338.01
SRX1552015	4-E5	27.5	197.01
SRX1552013	2-B7	54.7	286.02
SRX1552011	5-E3	38.6	237.01
SRX1552009	1-G2	34.4	55.01
SRX1552007	2-B1	23.0	219.01
SRX1552005	3-G8	25.2	139.01
SRX1552003	5-E5	10.7	240.01
SRX1552001	3-B7	18.3	144.02
SRX1551999	4-E3	12.4	144.01
SRX1551997	1-G4	38.8	107.02
SRX1551995	8-E8	10.8	340.01
SRX1551993	2-A6	6.1	190.01
SRX1551991	5-F2	38.6	234.02
SRX1551989	4-F4	58.6	180.01
SRX1551987	1-D3	66.9	91.02
SRX1551985	7-C1	54.0	68.02
SRX1551983	6-H7	16.3	56.01
SRX1551981	8-E4	18.8	321.01
SRX1551979	1-B7	39.4	159.01
SRX1551977	3-G4	34.6	37.02
SRX1551975	2-G2	29.4	303.01
SRX1551973	7-F2	54.9	145.01
SRX1551971	6-F4	40.6	355.01
SRX1551969	3-D3	33.1	76.01
SRX1551967	5-C1	54.2	195.01
SRX1551965	4-H7	24.5	181.01
SRX1551963	4-F8	9.6	197.01
SRX1551961	1-A6	22.6	122.01
SRX1551959	6-F2	30.0	355.01
SRX1551957	7-F4	55.9	151.01
SRX1551955	8-F5	42.8	343.01
SRX1551953	3-B3--7-B8	39.5	68.02
SRX1551951	5-C7	74.2	265.01
SRX1551949	4-C1	34.4	144.01
SRX1551947	3-D5	41.5	115.01
SRX1551945	5-F8	69.0	265.01
SRX1551943	5-H7	64.4	265.01
SRX1551941	1-B1	30.5	34.01
SRX1551939	2-G4	34.9	107.01
SRX1551937	4-D8	18.2	181.01
SRX1551935	2-F5	20.5	161.01
SRX1551933	5-A1	29.7	197.01
SRX1551931	3-F3	45.3	110.01
SRX1551929	4-A7	52.4	181.01
